gene,ISCI_primary_rank,ISCI_orthogonal,controller_verdict,therapeutic_convergence,convergence_verdict,board_category,druggability_tier,intervention_direction,penalty_flags,clinical_relevance_grade,decision_class
SETDB1,11.0,0.8994047619047619,top-controller,0.0265035347604921,neutral,A_manufacturing_modulation,chembl_target,transient_inhibition,none,L1 (axis literature),"C — Probe-only biology (controls axis, direction unclear)"
TWF1,12.0,0.8956349206349207,top-controller,0.1158492245633735,neutral,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
HEXIM1,13.0,0.8928571428571429,top-controller,0.1178657866145742,neutral,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
GATA3,14.0,0.8793650793650793,top-controller,1.7030326596874754,favorable,C_probe_only,no_chembl_target,titratable,none,L1 (axis literature),B — Engineering candidate (favorable + controllable)
SAMD1,15.0,0.8791666666666667,top-controller,-0.2281517419824403,unfavorable,A_manufacturing_modulation,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
MORF4L1,16.0,0.8775793650793651,top-controller,-0.0466005629361644,neutral,A_manufacturing_modulation,chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
CD3D,17.0,0.8767857142857143,top-controller,1.3210507207820417,favorable,D_dangerous_rheostat,no_chembl_target,avoid,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
DDIT4,18.0,0.8742063492063492,top-controller,-0.105359958229189,neutral,C_probe_only,no_chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
PPM1D,19.0,0.8738095238095238,top-controller,0.0210937321701074,neutral,D_dangerous_rheostat,chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
RBCK1,20.0,0.8724206349206349,top-controller,0.9609214159128854,favorable,D_dangerous_rheostat,no_chembl_target,transient_inhibition,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
KDM1A,21.0,0.8718253968253968,top-controller,1.4000438596964948,favorable,A_manufacturing_modulation,clinical_drug,transient_inhibition,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
SETD1B,22.0,0.8694444444444445,top-controller,0.1771669771940457,favorable,A_manufacturing_modulation,chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
DDA1,23.0,0.8686507936507937,top-controller,-0.1632864280952789,unfavorable,D_dangerous_rheostat,no_chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
GSTCD,24.0,0.8680555555555556,top-controller,-0.298019851115459,unfavorable,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
NR4A3,25.0,0.8666666666666667,top-controller,0.1733101736572766,favorable,C_probe_only,chembl_target,KD_harmful_suggests_OE,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
ARHGAP30,26.0,0.8650793650793651,top-controller,-0.347667985463352,unfavorable,B_engineering_candidate,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
HNRNPA1,27.0,0.8626984126984127,top-controller,0.1136128999910016,neutral,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
BRD9,28.0,0.8613095238095239,top-controller,-0.2626545578817593,unfavorable,A_manufacturing_modulation,chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
MAP3K5,29.0,0.8498015873015873,top-controller,0.3914637392654754,favorable,B_engineering_candidate,clinical_drug,transient_inhibition,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
CBX5,30.0,0.8496031746031746,top-controller,0.0060492092086509,neutral,A_manufacturing_modulation,chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
PTPRC,30.0,0.8496031746031746,top-controller,0.2495362789474826,favorable,D_dangerous_rheostat,clinical_drug,transient_inhibition,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
MYO9A,32.0,0.8462301587301587,top-controller,0.000186162841956,neutral,B_engineering_candidate,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
OSR1,33.0,0.8446428571428571,top-controller,0.0838330853036306,neutral,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
CTBP1,34.0,0.839484126984127,top-controller,0.0856715565874896,neutral,A_manufacturing_modulation,no_chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
IL2RB,35.0,0.8374999999999999,top-controller,1.296311759776482,favorable,D_dangerous_rheostat,clinical_drug,transient_inhibition,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
HNRNPD,36.0,0.8347222222222221,top-controller,0.4719450987852776,favorable,C_probe_only,chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
ZNF785,37.0,0.833531746031746,top-controller,-0.0703937919297077,neutral,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
BLZF1,38.0,0.8321428571428571,top-controller,0.1466830965955446,neutral,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
PAXIP1,39.0,0.8319444444444444,top-controller,-0.1360847073427403,neutral,D_dangerous_rheostat,no_chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
CD3E,40.0,0.8317460317460318,top-controller,1.2040022044281165,favorable,D_dangerous_rheostat,clinical_drug,avoid,TCR/signaling-proximal,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
INPP5D,41.0,0.831547619047619,top-controller,0.022562458187608,neutral,B_engineering_candidate,clinical_drug,KD_harmful_suggests_OE,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
WDR82,41.0,0.831547619047619,top-controller,0.9022956865478816,favorable,D_dangerous_rheostat,chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
PTEN,43.0,0.8301587301587301,top-controller,-0.1076570892123716,neutral,D_dangerous_rheostat,chembl_target,KD_harmful_suggests_OE,tumor-suppressor(KD-oncogenic-risk),L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
USP22,44.0,0.829563492063492,top-controller,1.1878109523799825,favorable,B_engineering_candidate,chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
UFM1,45.0,0.8279761904761904,top-controller,0.3959420551844501,favorable,D_dangerous_rheostat,chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
PPHLN1,46.0,0.8271825396825396,top-controller,0.1518612756790003,favorable,A_manufacturing_modulation,chembl_target,titratable,none,L0 (no direct clinical evidence),B — Engineering candidate (favorable + controllable)
SMG8,47.0,0.825595238095238,top-controller,-0.1601624335786196,unfavorable,D_dangerous_rheostat,no_chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
PHF8,48.0,0.8246031746031746,top-controller,-0.1340505957142934,neutral,A_manufacturing_modulation,chembl_target,transient_inhibition,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
CASP3,49.0,0.8236111111111111,top-controller,0.1346632703397703,neutral,D_dangerous_rheostat,chembl_target,transient_inhibition,broadly-essential; tumor-suppressor(KD-oncogenic-risk),L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
KLF13,50.0,0.8222222222222222,top-controller,0.1110522503091305,neutral,C_probe_only,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"C — Probe-only biology (controls axis, direction unclear)"
ZRANB2,50.0,0.8222222222222222,top-controller,-0.282910575603147,unfavorable,,,,,L0 (no direct clinical evidence),"E — Wrong-way controller (mechanism, not target)"
PLCG1,52.0,0.8202380952380952,near,2.2247960831346876,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
IL4R,53.0,0.8198412698412698,near,0.304268998900377,favorable,,,,,L1 (axis literature),"F — Phenotype-associated, weak controller"
TBX22,53.0,0.8198412698412698,near,0.2627055394826715,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
COQ6,55.0,0.8192460317460317,near,0.42629707887635,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
MLST8,56.0,0.8188492063492063,near,0.0943850750888678,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
FOXK1,57.0,0.8182539682539682,near,0.3811865264489558,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
IRF2BP1,58.0,0.8178571428571428,near,0.7023994939406851,favorable,B_engineering_candidate,no_chembl_target,KD_harmful_suggests_OE,none,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
WDR44,59.0,0.816468253968254,near,0.3102241717034033,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
FBXO28,60.0,0.8162698412698413,near,-0.0822115495945102,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
CAMSAP1,61.0,0.8150793650793651,near,0.3770374475573997,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
UBA5,62.0,0.8146825396825397,near,0.5033992730475455,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
STAT3,63.0,0.814484126984127,near,-0.0608907862490536,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
ZNF274,64.0,0.8134920634920635,near,0.0855087171275713,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
L2HGDH,65.0,0.8132936507936508,near,0.6243720506855427,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
THOC6,66.0,0.8117063492063492,near,0.1667941927006,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
GALNT6,67.0,0.8111111111111111,near,-0.2049338945003726,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TASOR,68.0,0.8109126984126984,near,0.2913763368890831,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
POGK,69.0,0.8097222222222222,near,0.429330294805381,favorable,A_manufacturing_modulation,no_chembl_target,titratable,none,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
EP300,70.0,0.8095238095238095,near,0.1968288593128054,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SMARCE1,71.0,0.8075396825396826,near,0.6532817655988844,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SHLD1,72.0,0.8057539682539683,near,0.7051164456409217,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
GAS2L1,73.0,0.8053571428571429,near,0.5486791496660203,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
CBFA2T2,74.0,0.8047619047619048,near,0.2246314434204983,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SP1,75.0,0.8041666666666667,near,-0.030611373321121,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
IST1,76.0,0.8025793650793651,near,0.7281853305155798,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
CD28,77.0,0.8021825396825397,near,0.7590730657739516,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
STAT5A,78.0,0.801984126984127,near,0.6529839442182879,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
GOLGA8A,79.0,0.7998015873015873,near,-0.2872461893211103,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
MRPS23,79.0,0.7998015873015873,near,0.4336319428973283,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SMARCC1,81.0,0.7992063492063493,near,0.2856247102163571,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
CBLB,82.0,0.7990079365079366,near,-0.2535240339361455,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TMX1,83.0,0.7984126984126985,near,1.3662259706083606,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
MED24,84.0,0.7982142857142858,near,-0.4879001231945374,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TMED10,85.0,0.7958333333333334,near,0.3442979685515983,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
DHX36,86.0,0.7948412698412699,near,0.8176836596048416,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TBX21,87.0,0.7946428571428571,near,0.4964145031708944,favorable,,,,,L1 (axis literature),"F — Phenotype-associated, weak controller"
TAF13,88.0,0.7936507936507937,near,0.5613173283663724,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
WRAP53,89.0,0.7926587301587302,near,-0.0005374329810169,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
RIPK1,90.0,0.7916666666666667,near,0.0219313432123574,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PAK2,91.0,0.791468253968254,near,0.1515055218632638,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SLC9A5,92.0,0.7912698412698413,near,0.0147082866847388,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
NUBPL,93.0,0.7892857142857144,near,0.1808286346491615,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SRRD,94.0,0.7884920634920635,near,-0.0675327600139141,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
SCO2,95.0,0.7867063492063492,near,0.1406008537064584,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
ETNK1,96.0,0.7861111111111111,near,0.3232897470110181,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
PIBF1,97.0,0.7819444444444444,near,0.1443716302137971,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PARP3,98.0,0.7813492063492063,near,0.4835182463058982,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
DCLRE1A,100.0,0.780952380952381,near,0.4245294143163665,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TMEM263,100.0,0.780952380952381,near,0.0628360450320162,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
UQCRC2,100.0,0.780952380952381,near,0.1817382871213878,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
COA7,102.0,0.7793650793650794,near,0.4106179326325621,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
VEZT,103.0,0.7773809523809524,near,0.0533169430917125,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
KIFAP3,104.0,0.7748015873015873,near,1.6568078323144335,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TIAL1,104.0,0.7748015873015873,near,0.2641523098200423,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SCO1,106.0,0.7742063492063491,near,0.3846925744066305,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
CFAP20,107.0,0.7738095238095238,near,1.2623397949141362,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
DEF8,108.0,0.7728174603174602,near,0.356571643792049,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
NDUFA6,109.0,0.7712301587301588,near,0.2295244647273865,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
BEX3,110.0,0.7698412698412698,near,0.3364321799314131,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
PPP3R1,111.0,0.769047619047619,near,0.1259044266810957,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
SMG9,111.0,0.769047619047619,near,0.0086061756383968,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
FCHO1,113.0,0.7682539682539682,near,-0.0111515008480013,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TCEAL3,113.0,0.7682539682539682,near,0.1035689514780497,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
FRS3,115.0,0.7674603174603174,near,-0.119464687660461,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
SKA2,116.0,0.7668650793650793,near,0.1383906375104498,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
CHD4,117.0,0.7658730158730158,near,0.1589251084756435,favorable,,,,,L1 (axis literature),"F — Phenotype-associated, weak controller"
WASF2,118.0,0.7656746031746031,near,-0.833410813419341,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
CD247,119.0,0.7654761904761904,near,1.5635048722215206,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
UBAP2L,120.0,0.7646825396825396,near,-0.370046643998437,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PDCD10,121.0,0.7634920634920634,near,0.7791453358191228,favorable,A_manufacturing_modulation,chembl_target,titratable,none,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
COA5,122.0,0.7632936507936507,near,0.5317157364112775,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
BRAT1,123.0,0.7626984126984127,near,-0.1526441288432363,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
SAMD4B,124.0,0.7625,near,-0.0414687397390132,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TWNK,125.0,0.7611111111111111,near,0.9990205547699348,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
FBXW7,126.0,0.760515873015873,near,0.0673379197142653,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
ZFX,127.0,0.7597222222222222,near,0.3393809023178285,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
BTAF1,128.0,0.7589285714285714,near,0.3756982621007849,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
LRBA,129.0,0.7587301587301587,near,1.0191839407232546,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
EIF3H,130.0,0.7583333333333333,near,0.0551148201017044,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
NAB2,131.0,0.7579365079365079,near,-0.4174916559080308,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
ACOT7,132.0,0.7577380952380952,near,0.3336999962691394,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SFTPC,132.0,0.7577380952380952,near,-0.4530777929139031,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PGGT1B,134.0,0.756547619047619,near,1.4598093913356898,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
MBIP,135.0,0.7563492063492063,near,0.5748187151800441,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
NKX2-3,135.0,0.7563492063492063,near,-0.172345092373227,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
DSEL,137.0,0.7557539682539682,near,0.1492227756928988,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
AEBP2,137.0,0.7557539682539682,near,0.6933203111878304,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
FAM118B,139.0,0.7547619047619047,near,0.3866858392994328,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
MTMR10,140.0,0.7541666666666667,near,0.2886942477933628,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
PHF23,141.0,0.7533730158730159,near,0.1607498406549388,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TNFRSF10B,141.0,0.7533730158730159,near,-0.0938800546837983,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
LAT,143.0,0.7529761904761905,near,1.983190615487368,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
LEO1,144.0,0.7511904761904762,near,0.3269204574256758,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SLC16A1,144.0,0.7511904761904762,near,1.0631720272962404,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
LARS2,146.0,0.7507936507936508,near,0.4601754798913116,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
GCN1,147.0,0.7492063492063492,near,0.4954755435506948,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
FLCN,148.0,0.7490079365079365,near,-0.0699003511087379,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
MALT1,149.0,0.7488095238095238,near,1.1223524518250867,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
STXBP4,149.0,0.7488095238095238,near,0.4407850182840837,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
RFT1,151.0,0.7468253968253968,near,0.7686093485224887,favorable,D_dangerous_rheostat,chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
BPTF,152.0,0.745436507936508,near,0.1836387412654084,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
CLASRP,153.0,0.7444444444444445,near,0.8989213547058968,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ELP3,153.0,0.7444444444444445,near,-0.5141202223427431,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
GNAS,155.0,0.7424603174603175,near,0.0765411829176599,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
MTCH2,156.0,0.7416666666666667,near,0.4213359383648423,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
B4GALT7,157.0,0.7408730158730159,near,0.1362513878253825,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PPP4C,158.0,0.7398809523809524,near,0.5456633031607762,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TSC1,159.0,0.7396825396825397,near,0.3281137901201894,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ATXN2L,160.0,0.739484126984127,near,0.2681518825658258,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ARID1A,161.0,0.7382936507936508,near,0.3797655046717361,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
RNF8,162.0,0.736904761904762,near,0.6260681903280699,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
TMEM167A,163.0,0.7359126984126985,near,-0.27816026612305,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
ATG14,164.0,0.7355158730158731,near,-0.0369417033621834,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TSTD2,165.0,0.7351190476190477,near,0.6051581320935197,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
SND1,166.0,0.7343253968253969,near,0.3958792576485915,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ACTB,167.0,0.732936507936508,near,0.4375674630262685,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
RRAGA,168.0,0.7305555555555555,near,-0.313854165830939,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
MAU2,169.0,0.7293650793650793,near,0.5716535800608104,favorable,D_dangerous_rheostat,no_chembl_target,transient_inhibition,broadly-essential,L0 (no direct clinical evidence),D — Dangerous rheostat (control/avoid)
NDFIP2,169.0,0.7293650793650793,near,0.7166425592159223,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
EPC1,171.0,0.728968253968254,near,-0.4602259295367434,unfavorable,,,,,L0 (no direct clinical evidence),C — Probe-only biology
CD3G,172.0,0.7287698412698413,near,1.5368791535760644,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ANKRD49,173.0,0.7271825396825398,near,0.1078248523650098,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
COX4I1,173.0,0.7271825396825398,near,0.6301100468214177,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
ACSL6,175.0,0.7257936507936509,near,-0.0951020786918392,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
PAGR1,176.0,0.7250000000000001,near,0.0099564804379208,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
MRPS5,177.0,0.7246031746031747,near,0.2003647809462506,favorable,,,,,L0 (no direct clinical evidence),"F — Phenotype-associated, weak controller"
METTL1,178.0,0.7242063492063493,near,-0.1030052422785257,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
TTC39C,179.0,0.7238095238095239,near,-0.018019895019518,neutral,,,,,L0 (no direct clinical evidence),C — Probe-only biology
